"id","content_text","content_code","content_image","is_true","created_at","revised_at","fk_question"
"1","La loi de Moore concerne la diminution des coûts de production des ordinateurs chaque année.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"9"
"2","La loi de Moore prédit que la vitesse des ordinateurs double chaque année.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"9"
"3","La loi de Moore établit que la taille des disques durs augmente de 50 % chaque année.",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"9"
"4","La loi de Moore stipule que le nombre de transistors sur une puce de circuit intégré double environ tous les deux ans.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"9"
"5","Il fusionne les éléments du tableau par groupe de trois et les trie simultanément jusqu'à obtenir un tableau trié.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"61"
"6","Il divise le tableau en deux sous-tableaux, trie chaque sous-tableau de manière indépendante et les fusionne ensuite.",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"61"
"7","Il compare chaque paire d'éléments adjacents et les échange si nécessaire, répétant ce processus jusqu'à ce que le tableau soit trié.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"61"
"8","Il fusionne les éléments triés dans un seul tableau sans avoir besoin de les diviser préalablement en sous-tableaux.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"61"
"9","La boucle ""for"" est utilisée pour des itérations dont le nombre est connu à l'avance, tandis que la boucle ""while"" s'exécute seulement si la condition est vraie.",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"1"
"10","La boucle ""while"" est utilisée pour des itérations dont le nombre est connu à l'avance, tandis que la boucle ""for"" s'exécute seulement si la condition est vraie.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"1"
"11","Il n'y a pas de différence.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"1"
"12","La boucle ""while"" permet d'incrémenter automatiquement un compteur, tandis que la boucle ""for"" ne le permet pas.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"1"
"13","Programmation fonctionnelle",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"22"
"14","Programmation dynamique",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"22"
"15","Programmation rapide",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"22"
"16","Programmation flexible",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"22"
"17","un objet est un 'moule' qui permet de créer des instance de ce même objet.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"5"
"18","un objet est l'instance d'une classe.",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"5"
"19","un objet est une chose solide.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"5"
"20","Un objet est une variable qui ne peut contenir que des nombres et des chaînes de caractères.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"5"
"21","Une situation où les données dépassent la capacité d'un tampon, écrasant des données adjacentes.",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"65"
"22","Une erreur où la mémoire allouée est insuffisante pour les données, provoquant un crash.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"65"
"23","Une technique d'optimisation utilisée pour améliorer les performances de la mémoire.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"65"
"24","Une méthode pour allouer dynamiquement plus de mémoire à un programme en cours d'exécution.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"65"
"25","Une fonction qui retourne un résultat",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"2"
"26","Un stockage temporaire pour des données",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"2"
"27","Un type de boucle",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"2"
"28","Un logiciel d'édition de code",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"2"
"29","Un format de fichier binaire utilisé sur les systèmes Linux pour exécuter des programmes sur l'architecture x86.",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"69"
"30","Un langage de programmation ancien conçu pour les processeurs x86.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"69"
"31","Un outil de débogage spécifique aux processeurs x86.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"69"
"32","Un protocole réseau utilisé pour la communication entre systèmes Linux.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"69"
"33","Random Access Memory",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"6"
"34","Read Access Memory",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"6"
"35","Ready Allocated Memory",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"6"
"36","Read Array Module",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"6"
"37","C'est une technique permettant de chiffrer toutes les données envoyées entre un client et un serveur.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"35"
"38","Un reverse shell est une connexion où la machine compromise écoute sur un port spécifique, permettant à l'attaquant de se connecter et d'exécuter des commandes.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"35"
"39","Un reverse shell est une connexion initiée par une machine distante vers l'attaquant, permettant à ce dernier d'exécuter des commandes sur la machine compromise.",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"35"
"40","C'est une commande utilisée pour lier une adresse IP à un nom de domaine.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"35"
"41","Personal Home Page",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"10"
"42","Preprocessor Hypertext Protocol",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"10"
"43","Hypertext Preprocessor",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"10"
"44","Page Hypertext Preprocessing",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"10"
"45","Un protocole d'authentification réseau sécurisé basé sur des tickets.",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"62"
"46","Un logiciel antivirus conçu pour protéger les systèmes d'exploitation Windows.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"62"
"47","Un langage de programmation utilisé pour développer des applications web.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"62"
"48","Un protocole de communication sans fil utilisé dans les réseaux locaux.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"62"
"49","SMTP",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"13"
"50","FTP",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"13"
"51","HTTP",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"13"
"52","DNS",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"13"
"53","Stocker des données",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"17"
"54","Décrire des comportements sans implémentation",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"17"
"55","Hériter de classes concrètes",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"17"
"56","Exécuter un programme",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"17"
"57","Cascading Style Sheets",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"11"
"58","Computer Style Sheets",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"11"
"59","Coding Style System",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"11"
"60","Central Style Syntax",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"11"
"61","C#",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"15"
"62","Java",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"15"
"63","PHP",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"15"
"64","Python",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"15"
"65","Fournir une interface graphique",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"14"
"66","Simplifier le développement en fournissant une structure et des outils",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"14"
"67","Protéger les données des attaques",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"14"
"68","Tester la performance d'un programme",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"14"
"69","JavaScript Output Node",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"21"
"70","JavaScript Object Notation",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"21"
"71","Java System Open Network",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"21"
"72","JavaScript Operational Network",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"21"
"73","Une variable qui stocke l'adresse mémoire d'une autre variable.",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"16"
"74","Un type de boucle qui permet d'itérer sur un tableau.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"16"
"75","Une fonction qui renvoie toujours une valeur numérique.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"16"
"76","Un opérateur utilisé pour additionner deux nombres entiers.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"16"
"77","Gérer les adresses IP",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"29"
"78","Résoudre des noms de domaine en adresses IP",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"29"
"79","Assurer la sécurité des pages web",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"29"
"80","Optimiser le contenu des pages web",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"29"
"81","Extended Memory Language",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"30"
"82","Extensible Markup Language",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"30"
"83","Extra Markup Language",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"30"
"84","Executable Machine Language",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"30"
"85","Annuler des commits",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"18"
"86","Créer un nouveau dépôt",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"18"
"87","Fusionner deux branches",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"18"
"88","Modifier un fichier",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"18"
"89","Une technique d'injection de code malveillant qui remplace le contenu d'un processus légitime tout en maintenant son identifiant.",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"73"
"90","Un protocole de communication utilisé pour gérer les processus systèmes sous Linux.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"73"
"91","Une méthode de compression de fichiers utilisée pour réduire la taille des processus en mémoire.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"73"
"92","Une technique de débogage qui vide la mémoire d'un processus pour l'inspecter.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"73"
"93","Une structure de données pour gérer des paires clé-valeur",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"33"
"94","Un algorithme de tri",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"33"
"95","Une méthode de cryptage",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"33"
"96","Une base de données relationnelle",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"33"
"97","Accessible uniquement dans la fonction où elle est définie",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"37"
"98","Accessible uniquement dans un module spécifique",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"37"
"99","Accessible uniquement dans le fichier où elle est définie",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"37"
"100","Accessible dans tout le programme",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"37"
"101","Une colonne qui contient des données confidentielles",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"34"
"102","Un champ de texte obligatoire",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"34"
"103","Un identifiant unique pour chaque ligne d'une table",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"34"
"104","Un type de jointure entre deux tables",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"34"
"105","Un processus est un langage de programmation alors qu'un thread est une bibliothèque",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"49"
"106","Un processus a son propre espace mémoire, tandis qu""un thread partage l'espace mémoire avec d'autres threads.",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"49"
"107","Un processus est toujours plus rapide qu'un thread en termes d'exécution ",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"49"
"108","Un processus peut exister sans threads mais un threas ne peut pas exister sans un processus",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"49"
"109","Un programme de traitement de texte",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"7"
"110","Un langage de programmation",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"7"
"111","Un programme qui gère le matériel et les logiciels",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"7"
"112","Un logiciel de navigation web",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"7"
"113","Une table utilisée pour stocker des mots de passe hashés et leurs valeurs en clair afin de faciliter la recherche de mots de passe.",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"53"
"114","Un type de base de données qui stocke les informations utilisateur de manière sécurisée.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"53"
"115","Un outil de gestion des performances des serveurs informatiques.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"53"
"116","Un protocole de communication pour l'échange de données entre ordinateurs.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"53"
"117","Une unité de stockage de données",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"3"
"118","Une boucle en programmation",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"3"
"119","Un opérateur logique",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"3"
"120","Un bug dans un programme",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"3"
"121","La stéganographie est l'art de dissimuler des informations ou des messages dans des fichiers ou des images de manière indétectable.",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"38"
"122","La stéganographie est une technique utilisée pour chiffrer des messages afin qu'ils ne puissent pas être déchiffrés.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"38"
"123","La stéganographie est la méthode consistant à compresser des fichiers pour économiser de l'espace de stockage.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"38"
"124","La stéganographie permet de protéger les logiciels contre la copie non autorisée.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"38"
"125","Un outil ou un programme qui extrait des données de sites web en automatisant la navigation.",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"45"
"126","Un type de logiciel antivirus qui protège contre les malwares.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"45"
"127","Une méthode de compression de données pour optimiser l'espace de stockage.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"45"
"128","Un langage de programmation utilisé pour le développement web.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"45"
"129","Le nom complet d'un fichier",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"4"
"130","Une application associée au fichier",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"4"
"131","Un chemin d'accès à un fichier",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"4"
"132","La partie du nom de fichier après le point",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"4"
"133","42",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"80"
"134","Nul n'a trouvé",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"80"
"135","Chuck Norris",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"80"
"136","Monsieur Ravrat vous le dira",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"80"
"137","Netcat est principalement utilisé pour le débogage réseau et des tests de pénétration, tandis que socat offre des fonctionnalités avancées pour établir des connexions entre divers types de flux de données, ce qui le rend utile pour des attaques plus compl",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"77"
"138","Netcat ne peut pas établir de connexions sécurisées, alors que socat permet la création de tunnels SSH et d'autres connexions sécurisées.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"77"
"139","Socat supporte les connexions IPv6, tandis que certaines versions de Netcat ne le font pas, ce qui peut être un facteur de choix dans des environnements modernes.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"77"
"140","Netcat est souvent utilisé pour écouter des ports et transférer des données, tandis que socat est utilisé pour rediriger des flux de données entre différents types de sockets, offrant plus de flexibilité pour des opérations d'exploitation.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"77"
"141","RCE signifie ""Remote Code Execution"", une vulnérabilité qui permet à un attaquant d'exécuter du code à distance sur un système cible.",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"36"
"142","RCE signifie ""Real-time Code Encryption"", un processus de chiffrement des données en temps réel.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"36"
"143","RCE signifie ""Random Code Execution"", un terme utilisé pour décrire l'exécution aléatoire de segments de code",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"36"
"144","RCE signifie ""Recursive Computing Environment"", une méthode d'optimisation des calculs récursifs.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"36"
"145","JSON Web Token, un standard ouvert pour transmettre des informations de manière sécurisée entre deux parties.",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"25"
"146","Java Web Tool, un framework pour le développement d'applications Java.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"25"
"147","JavaScript Web Template, un modèle utilisé pour le rendu dynamique de pages web.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"25"
"148","JSON Wide Transmission, un protocole de communication entre serveurs.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"25"
"149","CSS",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"8"
"150","HTML",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"8"
"151","SQL",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"8"
"152","C++",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"8"
"153","4 bits",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"19"
"154","8 bits",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"19"
"155","16 bits",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"19"
"156","32 bits",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"19"
"157","Renommer un fichier",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"20"
"158","Modifier un fichier",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"20"
"159","Supprimer un fichier",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"20"
"160","Lister des fichiers",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"20"
"161","Calculer les données audio",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"12"
"162","Gérer les connexions réseau",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"12"
"163","Gérer les affichages visuels",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"12"
"164","Exécuter les programmes",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"12"
"165","Un dump est une copie brute des données d'un système, d'une mémoire ou d'une base de données pour des fins d'analyse ou de récupération.",NULL,NULL,"1","2024-09-30 16:44:42",NULL,"57"
"166","Un dump est un type de logiciel antivirus utilisé pour protéger les données.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"57"
"167","Un dump est un algorithme de compression de fichiers utilisé pour réduire leur taille.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"57"
"168","Un dump est un programme permettant d'effacer de manière sécurisée le contenu d'un disque dur.",NULL,NULL,"0","2024-09-30 16:44:42",NULL,"57"
